id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety
2449-P,40,2036.328470272012,EOMGO,Houston,Texas,Mexico,Regional Pumpkin Festival,1354 U,1264 F,476,1998,5,Kikuza
2345-P,5,1989.433849165216,TETIL,Paris,California,France,National Pumpkin Festival,1545 C,1573 R,452,1812,14,Pumpkin Pie
2335-P,71,1900.559296566993,IGUXV,Los Angeles,California,USA,Regional Pumpkin Festival,1835 O,1630 P,443,1746,5,Pumpkin Pie
2246-P,6,1884.0339918648824,XVXRN,Nottingham,Florida,Mexico,Regional Pumpkin Festival,1903 A,1658 W,435,1665,11,Kikuza
2858-P,75,1807.4403143925592,BXWWO,New York,California,France,Regional Pumpkin Festival,1756 E,1927 H,426,1616,11,Kabocha
2173-P,97,1792.360398363322,GYKAL,Paris,Texas,China,Local Pumpkin Festival,1533 V,1548 G,427,1614,11,Pumpkin Pie
2452-P,17,1787.9308533258736,OSKXI,Los Angeles,California,Australia,Local Pumpkin Festival,1284 X,1287 E,445,1749,2,Kikuza
2068-P,76,1774.8107726210728,HQBXO,Los Angeles,Florida,Canada,Local Pumpkin Festival,1671 E,1910 B,434,1646,7,Kikuza
2475-P,52,1782.894648307003,ILOWZ,Los Angeles,New York,China,Regional Pumpkin Festival,1692 U,1353 A,420,1543,12,Queensland Blue
2545-P,22,1776.209580419585,EBZRN,Chicago,Texas,France,Local Pumpkin Festival,1644 L,1160 A,422,1573,7,Kabocha
2135-P,45,1746.8485991802067,HOVTE,Paris,Texas,France,Regional Pumpkin Festival,1800 U,1121 I,441,1705,5,Kikuza
2090-P,9,1754.2794335968792,ZBHLZ,Los Angeles,New York,Mexico,Local Pumpkin Festival,1981 J,1752 O,424,1522,17,Kabocha
2081-P,12,1734.9824307654053,NJBAP,Houston,New York,UK,Local Pumpkin Festival,1356 T,1912 B,431,1611,11,Queensland Blue
2380-P,71,1732.0185230839998,AORMQ,Nottingham,Texas,UK,National Pumpkin Festival,1421 Z,1810 Z,426,1587,12,Kabocha
2977-P,94,1683.6673313595354,YBHWM,Paris,California,China,Local Pumpkin Festival,1104 M,1898 U,440,1661,5,Pumpkin Pie
2120-P,86,1677.5201119408011,QQYYX,Nottingham,California,USA,National Pumpkin Festival,1542 R,1668 X,424,1567,4,Queensland Blue
2293-P,35,1674.1723186234012,GNUOK,Los Angeles,California,Australia,Regional Pumpkin Festival,1518 I,1513 N,440,1725,0,Kikuza
