id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety
2186-P,35,2026.540454032831,WSUWM,Chicago,New York,USA,Regional Pumpkin Festival,1454 H,1325 A,471,1998,6,Early Abundance
2564-P,8,1979.3170095887035,BTVMP,Paris,California,China,Local Pumpkin Festival,1944 U,1420 B,456,1812,13,Polar Bear
2261-P,30,1888.0799752250314,XSPNR,Houston,Texas,USA,Regional Pumpkin Festival,1939 U,1360 K,441,1745,11,Polar Bear
2826-P,50,1879.3455152660608,FWALE,Nottingham,California,China,Regional Pumpkin Festival,1127 I,1116 W,439,1672,17,Black Futsu
2407-P,70,1820.4923711828887,IVDXC,Houston,Florida,Canada,Regional Pumpkin Festival,1029 L,1395 W,427,1609,9,Galeux d'Eysines
2594-P,50,1794.3521370775998,LFJXW,Houston,Florida,China,Local Pumpkin Festival,1049 U,1625 F,435,1622,16,Black Futsu
2002-P,81,1790.6783059155568,WLNDF,Los Angeles,Florida,Mexico,Regional Pumpkin Festival,1100 A,1290 A,441,1743,-2,Early Abundance
2651-P,80,1775.559268373996,ANCRP,Nottingham,Florida,France,National Pumpkin Festival,1833 V,1789 U,431,1651,4,Early Abundance
2815-P,92,1782.648545124568,MRPZL,Los Angeles,California,Canada,National Pumpkin Festival,1637 H,1773 L,420,1545,20,Galeux d'Eysines
2506-P,84,1775.5200134692714,VDQZH,Los Angeles,Texas,France,Regional Pumpkin Festival,1328 O,1191 K,420,1575,14,Black Futsu
2541-P,22,1748.007559730299,YQMJO,Nottingham,New York,Canada,Regional Pumpkin Festival,1051 L,1873 U,443,1702,2,Galeux d'Eysines
2555-P,66,1752.1625978043303,RXJNW,Los Angeles,California,Canada,National Pumpkin Festival,1482 U,1963 W,420,1523,17,Polar Bear
2548-P,55,1747.438487380743,ZOCUU,Houston,Florida,Canada,Regional Pumpkin Festival,1125 V,1744 K,435,1612,13,Early Abundance
2273-P,35,1737.842197504826,OGROV,Paris,Florida,Canada,National Pumpkin Festival,1027 T,1775 J,430,1590,10,Galeux d'Eysines
2548-P,28,1674.711125109531,BOMWZ,Los Angeles,Texas,Australia,Local Pumpkin Festival,1019 T,1170 L,437,1667,-4,Black Futsu
2041-P,94,1674.9904022151604,XLIIS,New York,Florida,UK,National Pumpkin Festival,1080 B,1605 O,422,1568,4,Polar Bear
2747-P,53,1658.2106720600277,AGEOC,Paris,Texas,USA,Regional Pumpkin Festival,1890 C,1558 B,441,1721,-7,Early Abundance
2546-P,92,1666.8120772028342,MHRPM,Chicago,New York,Mexico,Regional Pumpkin Festival,1863 M,1375 N,406,1429,16,Galeux d'Eysines
2955-P,88,1668.0982833364978,BIUHK,New York,Texas,Australia,National Pumpkin Festival,1760 X,1801 K,421,1504,9,Black Futsu
2477-P,15,1659.6265471791849,LSUBO,Nottingham,Texas,Canada,National Pumpkin Festival,1752 T,1192 B,423,1535,8,Polar Bear
2568-P,63,1624.0777600714937,SWRSC,Nottingham,Florida,Canada,Regional Pumpkin Festival,1242 L,1574 Q,405,1428,19,Early Abundance
2341-P,29,1604.0119090592489,IBVDF,Nottingham,Texas,China,National Pumpkin Festival,1667 B,1014 T,420,1531,2,Black Futsu
2463-P,46,1582.4380074329674,RKULT,Chicago,Texas,Mexico,National Pumpkin Festival,1251 A,1027 J,436,1627,1,Galeux d'Eysines
2232-P,54,1569.0246611339971,RVRNV,Chicago,Texas,UK,National Pumpkin Festival,1758 Y,1587 J,406,1449,4,Black Futsu
2832-P,54,1577.5089084831998,JYNDO,Paris,Texas,USA,Local Pumpkin Festival,1420 Q,1822 W,418,1540,1,Early Abundance
2436-P,17,1569.993844651617,CAHQG,Paris,California,UK,Regional Pumpkin Festival,1699 D,1223 C,388,1292,23,Polar Bear
2293-P,8,1566.6804313017055,TVLMN,New York,Texas,Canada,Regional Pumpkin Festival,1724 H,1327 V,413,1507,0,Black Futsu
2449-P,14,1546.3756974721327,KLDMF,New York,California,UK,Local Pumpkin Festival,1081 A,1871 W,414,1475,1,Polar Bear
2942-P,72,1548.6755726151168,AKPRK,Chicago,Texas,USA,National Pumpkin Festival,1116 U,1998 T,399,1384,16,Galeux d'Eysines
2321-P,87,1550.8834275547415,XNQUX,Los Angeles,New York,Mexico,Regional Pumpkin Festival,1022 H,1748 F,410,1484,0,Black Futsu
2859-P,97,1553.8161109844223,JMFQG,New York,Florida,Canada,Local Pumpkin Festival,1290 S,1044 V,429,1619,-9,Galeux d'Eysines
2269-P,73,1538.563609821722,XGIJA,Houston,California,Mexico,National Pumpkin Festival,1763 D,1793 D,408,1436,10,Black Futsu
2025-P,32,1534.913085383363,GRYBX,New York,Florida,UK,Regional Pumpkin Festival,1094 U,1264 V,415,1444,2,Early Abundance
2658-P,20,1530.7679796107113,FFBMX,Nottingham,California,UK,Local Pumpkin Festival,1164 K,1445 P,417,1480,6,Black Futsu
2290-P,48,1541.4088097473607,SEYUE,Paris,California,USA,National Pumpkin Festival,1633 G,1344 X,404,1433,9,Early Abundance
2213-P,44,1532.7429875759408,GEKGA,Houston,California,Mexico,Local Pumpkin Festival,1651 E,1341 O,413,1427,7,Galeux d'Eysines
2013-P,37,1538.3095193533227,QUVIY,Chicago,California,Canada,Regional Pumpkin Festival,1804 U,1507 Y,403,1340,16,Early Abundance
2292-P,1,1521.4262771606445,EXHMC,Houston,New York,USA,Regional Pumpkin Festival,1127 A,1346 R,405,1432,12,Polar Bear
2344-P,4,1519.4065594822168,BPCGN,Nottingham,Texas,USA,Regional Pumpkin Festival,1243 X,1445 V,419,1485,0,Polar Bear
2328-P,46,1528.0348864421248,DKCTF,Los Angeles,California,USA,Local Pumpkin Festival,1134 R,1880 M,416,1520,2,Galeux d'Eysines
2485-P,42,1527.2509631644934,MXPUI,New York,New York,USA,National Pumpkin Festival,1261 X,1908 C,424,1515,0,Polar Bear
2170-P,80,1520.9555072244257,DUTKP,Houston,California,Mexico,Local Pumpkin Festival,1029 E,1823 M,422,1550,3,Black Futsu
2642-P,68,1512.1780537217855,FJLLM,New York,California,Mexico,Regional Pumpkin Festival,1206 N,1178 T,443,1704,-6,Early Abundance
2458-P,94,1510.8938244618475,EWVJP,New York,Florida,USA,Regional Pumpkin Festival,1390 P,1663 W,410,1431,9,Galeux d'Eysines
2272-P,14,1509.2410544101149,UAOCC,Nottingham,Florida,Canada,National Pumpkin Festival,1433 T,1264 I,426,1539,-2,Early Abundance
2878-P,40,1497.867712277919,JMZHK,Paris,Florida,Mexico,Regional Pumpkin Festival,1964 W,1129 Z,399,1384,14,Early Abundance
2680-P,12,1494.0877907425165,DQULP,New York,California,France,Regional Pumpkin Festival,1133 R,1505 X,404,1403,6,Polar Bear
