id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety
2820-P,6,2039.4545651953667,ZGMTN,Los Angeles,California,USA,Local Pumpkin Festival,1292 L,1640 L,480,1995,4,Hooligan
2009-P,5,1993.5282576456666,PXHKN,Paris,New York,USA,Local Pumpkin Festival,1822 V,1824 V,448,1814,10,White Pumpkin
2940-P,100,1898.8948926851153,CFDGE,Houston,California,Canada,National Pumpkin Festival,1971 G,1316 V,443,1742,12,Porcelain Doll
2333-P,8,1869.4609763966873,CCDSN,Houston,New York,Australia,National Pumpkin Festival,1150 W,1099 H,437,1672,9,Lady Godiva
2695-P,71,1803.7625886239111,XEYWR,Los Angeles,California,Mexico,Regional Pumpkin Festival,1441 S,1002 I,434,1618,16,White Pumpkin
2611-P,85,1788.9699591128156,MGGPE,Houston,California,USA,Regional Pumpkin Festival,1946 F,1000 S,435,1623,7,Hooligan
2315-P,36,1792.6352619202808,BAODA,Los Angeles,Florida,France,Regional Pumpkin Festival,1377 R,1267 U,449,1746,6,White Pumpkin
2834-P,56,1784.1819919822738,PNWYL,Houston,Texas,USA,Local Pumpkin Festival,1257 D,1055 M,431,1652,3,Porcelain Doll
2632-P,70,1784.2412605350837,WBVZI,Nottingham,Texas,Australia,Local Pumpkin Festival,1217 M,1649 T,419,1545,17,Hooligan
2129-P,35,1766.9478922626004,CCKTL,Houston,California,France,Local Pumpkin Festival,1053 X,1411 N,428,1572,11,Hooligan
2193-P,16,1750.955848363787,OLMUR,Chicago,California,China,Regional Pumpkin Festival,1413 X,1952 H,435,1703,1,White Pumpkin
2633-P,74,1745.8333928426728,IRHMI,Nottingham,Texas,UK,National Pumpkin Festival,1307 Q,1735 I,420,1516,11,Porcelain Doll
2097-P,89,1750.224689620547,CENNH,New York,Florida,Canada,Local Pumpkin Festival,1949 D,1150 U,435,1605,13,Hooligan
2925-P,91,1728.2382027553394,BACSH,Los Angeles,California,Canada,National Pumpkin Festival,1081 K,1185 N,424,1586,12,Hooligan
2282-P,42,1679.887786110118,ERJKS,Houston,Texas,USA,Regional Pumpkin Festival,1826 K,1242 F,432,1664,-3,White Pumpkin
2386-P,13,1685.930339188315,HQRWX,New York,California,China,Regional Pumpkin Festival,1086 T,1580 L,428,1566,4,White Pumpkin
2148-P,64,1659.1102019362152,GQYQR,Paris,California,Canada,Regional Pumpkin Festival,1394 E,1549 M,448,1726,-6,Lady Godiva
