id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety
2833-P,99,2022.7363045122474,IPAFW,Los Angeles,Florida,Canada,National Pumpkin Festival,1255 S,1241 Z,478,1998,-1,Wee-B-Little
2874-P,94,1980.8204432437196,QOEPO,Chicago,Texas,France,National Pumpkin Festival,1349 X,1544 G,456,1809,13,Connecticut Field
2696-P,58,1895.3658474665135,OUVLW,Houston,California,France,Local Pumpkin Festival,1537 Y,1565 C,446,1748,5,Queensland Blue
2206-P,34,1875.75008540228,HMEBQ,Nottingham,New York,France,Regional Pumpkin Festival,1823 E,1106 K,440,1667,11,Connecticut Field
2714-P,50,1808.476349988021,VYMDV,Los Angeles,New York,UK,Regional Pumpkin Festival,1763 E,1253 U,428,1619,12,Wee-B-Little
2888-P,81,1781.1488285278901,DNKYG,Houston,New York,Canada,Local Pumpkin Festival,1497 F,1571 Z,433,1623,13,Casper
2808-P,87,1790.669547362253,DXCBZ,Paris,California,Canada,Regional Pumpkin Festival,1765 M,1867 S,443,1743,-3,Wee-B-Little
2724-P,78,1779.7972076190636,HPPBS,Houston,Florida,France,Regional Pumpkin Festival,1461 R,1716 X,432,1654,8,Connecticut Field
2221-P,52,1783.2082930188626,OLTQO,New York,New York,Canada,Local Pumpkin Festival,1418 F,1075 I,426,1540,18,Queensland Blue
2070-P,31,1758.7948221256956,HGVHF,Los Angeles,New York,Australia,Local Pumpkin Festival,1869 I,1904 I,421,1567,16,Casper
2502-P,49,1747.3178487323225,HNXAD,New York,California,France,Local Pumpkin Festival,1793 J,1740 Z,439,1705,2,Connecticut Field
2402-P,93,1750.817158437334,PRMEW,Houston,New York,China,Local Pumpkin Festival,1507 F,1920 V,415,1516,11,Casper
2386-P,96,1751.30281188339,JVJEI,Nottingham,Texas,France,Local Pumpkin Festival,1230 I,1306 K,426,1614,5,Casper
2805-P,98,1744.4259239668027,SGTBP,Houston,California,USA,National Pumpkin Festival,1378 V,1338 A,422,1585,12,Wee-B-Little
2825-P,100,1682.4520021473988,SDTZB,Los Angeles,New York,Canada,National Pumpkin Festival,1475 H,1488 F,432,1665,1,Wee-B-Little
2942-P,40,1687.4338247785345,AJFES,Paris,California,Mexico,Local Pumpkin Festival,1717 P,1969 B,423,1564,3,Casper
2820-P,70,1667.3995023723692,PDXXX,Nottingham,Florida,USA,Regional Pumpkin Festival,1327 R,1665 D,442,1728,0,Casper
2843-P,42,1667.7722642626613,DFHKT,Paris,Texas,USA,Local Pumpkin Festival,1544 J,1639 Z,412,1428,22,Casper
2527-P,31,1659.9011127147824,QABYY,Nottingham,California,France,National Pumpkin Festival,1622 M,1773 T,421,1503,12,Queensland Blue
2921-P,76,1646.1449927482754,BUZOK,Houston,Florida,Mexico,National Pumpkin Festival,1008 O,1751 F,421,1539,3,Casper
2996-P,96,1621.7390914233401,URWMI,Houston,New York,France,Local Pumpkin Festival,1700 B,1062 Q,409,1435,16,Casper
2127-P,48,1595.3602068461478,XLCFM,Houston,California,China,Local Pumpkin Festival,1073 L,1949 Z,423,1528,9,Queensland Blue
2538-P,9,1601.9311248306185,QGBVH,Nottingham,Texas,Mexico,Regional Pumpkin Festival,1805 H,1791 W,427,1632,1,Connecticut Field
2456-P,28,1586.5778538137674,MHOPQ,Houston,Florida,China,Local Pumpkin Festival,1278 S,1763 A,411,1443,5,Casper
2981-P,53,1574.6497854925692,STYQO,Paris,Texas,USA,National Pumpkin Festival,1567 F,1747 T,421,1537,5,Wee-B-Little
2731-P,61,1567.4276492046192,VXQHS,Nottingham,Florida,USA,Local Pumpkin Festival,1008 I,1802 J,394,1283,23,Casper
2841-P,47,1555.2169734947383,JYYSM,Los Angeles,California,Australia,Regional Pumpkin Festival,1342 O,1211 L,418,1507,9,Queensland Blue
2084-P,69,1549.0609686197713,JGYOJ,Paris,Texas,USA,Regional Pumpkin Festival,1961 A,1180 L,413,1479,6,Queensland Blue
2121-P,22,1545.607784957625,LZKZS,New York,Texas,USA,Regional Pumpkin Festival,1953 I,1894 R,403,1387,8,Connecticut Field
2473-P,61,1547.120176273398,CYQQP,Los Angeles,New York,Canada,Regional Pumpkin Festival,1264 D,1763 Z,412,1479,7,Connecticut Field
2818-P,94,1548.2485422482714,NRFFL,Paris,Texas,UK,Local Pumpkin Festival,1756 S,1970 V,431,1616,-1,Casper
2624-P,90,1552.8138422593474,RMISE,Los Angeles,Texas,Australia,National Pumpkin Festival,1723 Q,1362 R,414,1443,9,Queensland Blue
2949-P,18,1549.1497450796887,AFKQG,New York,Florida,France,Local Pumpkin Festival,1604 R,1528 D,413,1439,8,Casper
2183-P,67,1534.3683424293995,NMPCE,New York,Texas,China,Local Pumpkin Festival,1301 K,1097 I,420,1479,2,Connecticut Field
2091-P,95,1531.5474127957598,VBBXT,Paris,California,China,Regional Pumpkin Festival,1383 Q,1790 Y,410,1428,11,Queensland Blue
2268-P,67,1522.9551764745265,LETHE,Los Angeles,New York,Australia,Regional Pumpkin Festival,1445 M,1050 I,404,1428,11,Queensland Blue
2462-P,70,1521.681543348357,LOKSK,New York,New York,USA,National Pumpkin Festival,1076 H,1037 H,397,1341,15,Queensland Blue
2406-P,76,1524.212184175849,BUPXS,Los Angeles,New York,Australia,National Pumpkin Festival,1381 T,1869 K,411,1435,11,Casper
