id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety
2490-P,86,2023.4259032346308,LASCQ,Los Angeles,California,China,National Pumpkin Festival,1450 H,1848 S,479,2002,-1,Munchkin
2648-P,13,1982.0599204767495,GTAFP,Paris,Texas,UK,Regional Pumpkin Festival,1580 R,1279 D,456,1811,7,Golden Hubbard
2329-P,86,1901.1127973124385,BVKFK,Houston,Florida,USA,Local Pumpkin Festival,1494 O,1496 D,444,1748,6,Kakai
2367-P,14,1879.817455921322,QJVTR,Houston,New York,China,National Pumpkin Festival,1040 X,1531 A,435,1666,13,Kakai
2459-P,40,1808.9520183270797,DWGQC,Chicago,Florida,USA,National Pumpkin Festival,1607 N,1047 L,428,1610,15,Orange Bulldog
2438-P,64,1799.0305987317115,HECWI,Houston,Florida,Australia,National Pumpkin Festival,1368 J,1866 Q,436,1619,15,Munchkin
2583-P,97,1784.9671210311353,OAOOM,Los Angeles,New York,France,Local Pumpkin Festival,1229 N,1831 I,448,1748,-1,Orange Bulldog
2437-P,61,1781.0575943663716,PXBET,Houston,New York,Australia,Local Pumpkin Festival,1202 G,1075 S,438,1654,10,Munchkin
2422-P,96,1781.0862760925665,LRGOJ,Los Angeles,New York,China,National Pumpkin Festival,1467 H,1522 C,418,1541,20,Kakai
2510-P,66,1763.8612272925675,FCBAW,Paris,California,Canada,Local Pumpkin Festival,1036 Y,1370 B,422,1574,12,Munchkin
2722-P,28,1744.4693575805054,XQPGL,Chicago,Texas,Canada,Local Pumpkin Festival,1700 T,1766 K,442,1705,5,Orange Bulldog
2343-P,51,1752.0241724057123,CRJKF,Paris,Florida,China,National Pumpkin Festival,1046 W,1375 V,417,1519,20,Golden Hubbard
2270-P,52,1750.7069117603824,VSAUA,Houston,Texas,France,Regional Pumpkin Festival,1673 E,1332 I,432,1608,6,Kakai
2142-P,75,1736.2846749024466,RXKOP,Nottingham,New York,Mexico,Regional Pumpkin Festival,1403 B,1790 J,424,1587,8,Orange Bulldog
2937-P,17,1691.2088416919112,GELJH,Nottingham,California,USA,National Pumpkin Festival,1521 M,1381 Z,439,1668,-2,Orange Bulldog
2454-P,36,1689.6141931340098,SOLME,Nottingham,California,USA,Local Pumpkin Festival,1340 X,1167 L,424,1569,9,Orange Bulldog
2329-P,100,1657.833651708439,QQSCE,Nottingham,New York,Canada,Regional Pumpkin Festival,1502 F,1895 Z,440,1725,-2,Golden Hubbard
2929-P,95,1670.7889251280576,RMBIW,Paris,Texas,Australia,Regional Pumpkin Festival,1501 D,1508 T,405,1427,17,Munchkin
2535-P,75,1662.3063886547461,UNOMK,Houston,California,USA,National Pumpkin Festival,1211 O,1500 E,415,1504,11,Orange Bulldog
2524-P,7,1655.5653092795983,KVGJS,Paris,New York,France,National Pumpkin Festival,1649 Q,1666 D,423,1533,5,Kakai
2350-P,20,1630.8583336854354,IOFHG,Los Angeles,New York,China,Local Pumpkin Festival,1381 E,1382 V,408,1427,11,Golden Hubbard
