id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety
2852-P,74,2033.2480160268024,COOAL,Nottingham,California,UK,Regional Pumpkin Festival,1339 S,1085 U,475,2002,2,Blue Doll
2974-P,48,1988.774085934274,TKKYM,New York,Florida,China,Local Pumpkin Festival,1221 S,1261 Q,455,1807,13,Ghost
2709-P,94,1897.3398916153237,QGHQF,Chicago,Texas,China,National Pumpkin Festival,1427 W,1665 E,440,1740,13,Blue Doll
2773-P,11,1870.8271752558649,STCJC,Houston,Texas,Mexico,National Pumpkin Festival,1156 I,1078 M,434,1664,12,Ghost
2415-P,88,1814.59452133812,SJHHP,Paris,Florida,Mexico,National Pumpkin Festival,1265 F,1568 N,433,1610,10,Blue Doll
2391-P,79,1783.455156832002,FKBNT,New York,New York,France,Regional Pumpkin Festival,1888 M,1346 Q,435,1617,8,Blue Doll
2272-P,96,1785.1756779579446,TETHK,Chicago,California,China,Local Pumpkin Festival,1742 L,1634 P,445,1748,4,Fairytale
2348-P,68,1790.8965874919668,TRAGI,Paris,New York,Australia,Local Pumpkin Festival,1599 P,1218 Q,439,1652,4,Fairytale
2976-P,87,1770.0128853674978,MCNKI,Nottingham,Florida,UK,National Pumpkin Festival,1283 I,1331 M,423,1543,11,Blue Doll
2203-P,51,1766.5335045950487,BXWWM,Paris,Texas,Australia,Local Pumpkin Festival,1028 L,1866 N,426,1567,16,Blue Doll
2380-P,52,1752.973149079457,SYEHU,Houston,Texas,Australia,National Pumpkin Festival,1972 C,1502 C,441,1696,5,Ghost
2296-P,52,1750.8544362997636,GONET,Chicago,Florida,USA,National Pumpkin Festival,1275 T,1235 R,424,1523,14,Big Max
2689-P,27,1738.192979766056,PZAEM,Paris,Texas,China,National Pumpkin Festival,1580 O,1801 S,425,1609,5,Fairytale
2586-P,68,1728.0538253374398,YMCYA,New York,Texas,USA,Regional Pumpkin Festival,1741 A,1620 O,429,1585,5,Blue Doll
2960-P,91,1691.1748381594196,GDBTJ,Houston,New York,Canada,Local Pumpkin Festival,1583 N,1927 M,439,1668,2,Blue Doll
2642-P,41,1686.2392154680565,TDIHW,Chicago,Texas,UK,Regional Pumpkin Festival,1742 I,1060 J,427,1571,7,Big Max
2501-P,2,1664.462010677904,VKGUL,Houston,California,Mexico,Local Pumpkin Festival,1560 E,1750 J,443,1728,2,Blue Doll
