id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety
2761-P,32,2033.4749335637316,XQWKX,Houston,Florida,Canada,National Pumpkin Festival,1317 U,1719 C,479,1997,5,Sugar Pie
2033-P,80,1979.3897938961163,DCQZH,Los Angeles,California,France,National Pumpkin Festival,1089 W,1643 M,449,1812,7,Long Pie
2695-P,92,1895.2298193527386,SAROV,Houston,California,Australia,National Pumpkin Festival,1914 C,1498 G,445,1740,10,Yuxijiangbinggua
2920-P,51,1865.1942266551778,KSHMK,New York,Florida,Canada,Regional Pumpkin Festival,1504 P,1084 P,432,1664,16,Long Pie
2143-P,2,1810.8425440005958,CBFZR,Los Angeles,Texas,USA,Local Pumpkin Festival,1660 Y,1815 U,426,1610,11,Naples Long
2112-P,25,1797.8315014708787,NNPPT,Los Angeles,Florida,Australia,Regional Pumpkin Festival,1306 H,1078 D,428,1615,14,Sugar Pie
2548-P,99,1791.4758551642299,OZALG,New York,Texas,USA,Local Pumpkin Festival,1885 F,1518 C,440,1748,3,Sugar Pie
2571-P,3,1788.0618683286011,NASZQ,Paris,Florida,USA,Regional Pumpkin Festival,1358 F,1473 O,439,1651,6,Sugar Pie
2373-P,11,1787.8340780856088,NVTKX,Houston,Florida,Mexico,Regional Pumpkin Festival,1520 B,1173 P,424,1540,16,Naples Long
2907-P,41,1775.4994646655396,QUYNF,Nottingham,New York,Australia,National Pumpkin Festival,1053 I,1224 Y,430,1570,9,Long Pie
2212-P,62,1748.3546099863947,UQVVB,Nottingham,New York,UK,National Pumpkin Festival,1509 A,1971 I,445,1697,4,Sugar Pie
2213-P,24,1744.5417081248015,CWTQM,Houston,Florida,USA,Local Pumpkin Festival,1800 A,1235 M,423,1521,18,Long Pie
2061-P,60,1738.0077291773632,BZMOT,Paris,California,China,Local Pumpkin Festival,1549 G,1441 X,426,1610,5,Yuxijiangbinggua
2477-P,1,1734.2732356470078,PINVF,Chicago,Florida,USA,Regional Pumpkin Festival,1685 G,1849 G,424,1588,7,Yuxijiangbinggua
2998-P,30,1683.874598800391,JNLRW,Nottingham,New York,France,Regional Pumpkin Festival,1032 G,1473 P,435,1671,0,Yuxijiangbinggua
2733-P,59,1681.9678167784587,ZWTPY,Houston,Florida,Australia,National Pumpkin Festival,1351 Q,1819 M,426,1562,8,Long Pie
2852-P,63,1666.4966561123729,BMIGB,Los Angeles,Florida,UK,Local Pumpkin Festival,1356 G,1923 M,444,1726,-5,Naples Long
2162-P,48,1657.8241153629497,RXFCW,Houston,New York,Australia,Regional Pumpkin Festival,1124 I,1069 P,404,1419,14,Sugar Pie
2092-P,68,1659.1872456306592,NPJZW,Los Angeles,New York,UK,Regional Pumpkin Festival,1845 E,1590 F,421,1505,9,Long Pie
2746-P,92,1658.8013337664306,HQOWV,Houston,Texas,Australia,Local Pumpkin Festival,1444 K,1009 C,416,1531,5,Long Pie
2038-P,33,1627.8427821835503,INGKD,Houston,New York,Canada,Regional Pumpkin Festival,1157 A,1974 Q,411,1432,13,Sugar Pie
2556-P,60,1600.9731444772333,OHVDB,Paris,New York,China,Local Pumpkin Festival,1714 N,1567 B,417,1537,-1,Yuxijiangbinggua
2289-P,77,1594.2605237131938,FSGWF,Los Angeles,Florida,Australia,Local Pumpkin Festival,1267 Q,1819 M,431,1624,-7,Sugar Pie
2432-P,22,1569.7937097419053,LKZXN,Chicago,New York,Australia,Regional Pumpkin Festival,1717 G,1583 K,407,1448,4,Yuxijiangbinggua
2990-P,90,1584.1068881293759,TPVJM,New York,New York,Canada,Regional Pumpkin Festival,1900 N,1322 D,418,1545,-2,Yuxijiangbinggua
2935-P,12,1568.6710796924308,QEVXO,Nottingham,New York,UK,National Pumpkin Festival,1446 H,1784 F,391,1285,22,Sugar Pie
2558-P,8,1569.8430569106713,LEFFZ,Nottingham,Texas,UK,Local Pumpkin Festival,1458 P,1204 K,421,1507,2,Long Pie
2038-P,8,1558.6178812319413,GPYUV,Los Angeles,Texas,Canada,Local Pumpkin Festival,1754 W,1959 V,415,1479,3,Long Pie
2005-P,14,1542.6270782705396,VAVVD,Nottingham,California,UK,National Pumpkin Festival,1738 S,1322 B,399,1388,16,Sugar Pie
2493-P,28,1537.840908639133,CSLMN,Houston,Florida,China,Local Pumpkin Festival,1979 V,1841 N,415,1483,9,Naples Long
2322-P,64,1552.3390243751928,XSNAS,Nottingham,New York,USA,Local Pumpkin Festival,1495 W,1286 B,428,1610,-7,Naples Long
2994-P,72,1546.8952585337684,UKOQD,Paris,Texas,China,Regional Pumpkin Festival,1914 W,1547 J,410,1444,4,Naples Long
2362-P,97,1540.208895565942,BVLQP,Nottingham,Texas,USA,Regional Pumpkin Festival,1176 V,1439 S,408,1437,8,Yuxijiangbinggua
2977-P,56,1536.034711588174,ZLYOM,Houston,New York,Mexico,Local Pumpkin Festival,1614 C,1317 L,420,1486,7,Naples Long
2011-P,97,1528.9156414035708,BFHPD,Houston,Florida,France,Regional Pumpkin Festival,1083 N,1610 L,404,1436,7,Sugar Pie
2092-P,95,1534.389222253114,WBYXM,Houston,Texas,UK,National Pumpkin Festival,1262 M,1247 W,404,1426,9,Long Pie
2737-P,100,1528.0459821010008,LIHDQ,Paris,Florida,Canada,Regional Pumpkin Festival,1339 Z,1637 S,403,1347,18,Yuxijiangbinggua
2642-P,39,1525.8552143070847,UKQVE,Chicago,California,France,Local Pumpkin Festival,1078 W,1763 H,404,1434,2,Long Pie
2393-P,75,1538.6957331849262,YUHEB,Nottingham,California,Mexico,Regional Pumpkin Festival,1824 S,1799 G,410,1485,3,Long Pie
2719-P,57,1529.3466886449605,LYUAB,Paris,New York,France,National Pumpkin Festival,1507 M,1711 V,419,1519,4,Naples Long
2857-P,7,1512.0145687684417,FEYFN,Los Angeles,New York,France,Regional Pumpkin Festival,1117 K,1145 K,420,1517,-3,Naples Long
2778-P,11,1528.7671941099688,DWDVA,New York,Florida,UK,Regional Pumpkin Festival,1377 S,1265 O,422,1545,-6,Sugar Pie
2609-P,58,1510.3541869586334,BDFVS,Paris,Florida,France,Regional Pumpkin Festival,1198 B,1952 E,435,1705,-7,Naples Long
2840-P,57,1521.0240292670205,WWINX,Nottingham,California,Mexico,Regional Pumpkin Festival,1407 Z,1368 Q,409,1429,10,Naples Long
2059-P,83,1512.305343051441,QNXZC,Los Angeles,New York,Canada,National Pumpkin Festival,1398 F,1365 G,417,1531,-5,Yuxijiangbinggua
2295-P,89,1510.4825514107943,AKVLO,Los Angeles,Texas,France,National Pumpkin Festival,1729 Q,1238 S,407,1378,7,Naples Long
2838-P,46,1492.0175048597157,QDWVK,Houston,California,USA,Local Pumpkin Festival,1163 O,1579 E,407,1397,11,Naples Long
2903-P,9,1500.5044837379828,PMJHG,Paris,Texas,China,Local Pumpkin Festival,1454 B,1577 A,391,1274,20,Sugar Pie
2887-P,1,1497.9329446014017,KWHPC,Nottingham,New York,UK,National Pumpkin Festival,1538 I,1422 H,403,1421,2,Sugar Pie
2408-P,50,1488.7749254507944,FEPTF,Chicago,Florida,USA,Regional Pumpkin Festival,1587 W,1138 I,418,1542,-5,Yuxijiangbinggua
2187-P,35,1484.683694430627,SSEUE,Paris,Texas,USA,National Pumpkin Festival,1559 O,1454 N,422,1507,-1,Naples Long
2262-P,1,1480.07678307686,FAQKI,Los Angeles,California,USA,Regional Pumpkin Festival,1181 O,1949 M,403,1418,7,Long Pie
2243-P,78,1490.4084858009592,MFZGB,Chicago,Texas,Canada,Local Pumpkin Festival,1928 H,1183 G,404,1405,8,Yuxijiangbinggua
2208-P,90,1488.8291815016419,DSSFL,Paris,Florida,Mexico,Local Pumpkin Festival,1054 M,1729 A,419,1480,5,Long Pie
2388-P,23,1478.4259845009074,DIFLP,Nottingham,Florida,USA,National Pumpkin Festival,1980 I,1616 J,432,1589,-11,Long Pie
2411-P,71,1474.2810338949785,UWXUP,Paris,Texas,Mexico,Local Pumpkin Festival,1695 E,1208 V,423,1512,3,Sugar Pie
2209-P,49,1477.5300877736881,GJXIV,Nottingham,California,Mexico,National Pumpkin Festival,1450 Z,1432 T,409,1434,4,Yuxijiangbinggua
2420-P,34,1484.3106501773,LWCYW,Los Angeles,New York,UK,Local Pumpkin Festival,1470 M,1269 Q,413,1493,-1,Long Pie
2211-P,44,1469.1567127989606,NFQXE,Paris,New York,USA,Local Pumpkin Festival,1781 L,1336 V,409,1454,0,Long Pie
2637-P,78,1475.5031716478989,KPOWD,New York,Florida,China,Local Pumpkin Festival,1472 O,1405 X,417,1507,-7,Sugar Pie
2154-P,69,1469.6582529870793,KRAEL,Chicago,Texas,France,Local Pumpkin Festival,1253 M,1370 P,407,1412,1,Yuxijiangbinggua
2144-P,43,1455.5183771662414,VKHMH,Los Angeles,Florida,Australia,National Pumpkin Festival,1858 X,1764 Y,412,1468,4,Yuxijiangbinggua
2111-P,90,1459.7747865375131,OZZTQ,New York,Texas,France,Local Pumpkin Festival,1359 M,1147 E,394,1271,16,Yuxijiangbinggua
2085-P,26,1450.8749848389998,MIPYG,Nottingham,Texas,Canada,Local Pumpkin Festival,1525 G,1026 X,412,1455,1,Naples Long
2715-P,10,1443.8355080280453,MIWRD,Chicago,Florida,USA,National Pumpkin Festival,1791 K,1248 A,395,1343,12,Yuxijiangbinggua
2685-P,24,1450.429697250016,IHOSQ,Nottingham,Texas,Mexico,Regional Pumpkin Festival,1160 W,1330 J,402,1393,8,Yuxijiangbinggua
2924-P,5,1451.627577166073,KMWXM,Houston,California,UK,Regional Pumpkin Festival,1935 I,1698 B,402,1373,7,Long Pie
2305-P,89,1449.1258497405797,CQIHX,Nottingham,New York,China,Local Pumpkin Festival,1686 Z,1809 V,413,1481,-5,Naples Long
2678-P,85,1449.4541197530925,VIHPD,New York,Florida,Mexico,National Pumpkin Festival,1955 R,1401 G,407,1427,3,Long Pie
2928-P,84,1447.2037104228511,XGJTL,Paris,New York,USA,Local Pumpkin Festival,1274 B,1295 V,399,1319,11,Long Pie
2240-P,38,1438.1528049493209,DFGBI,Nottingham,New York,Canada,Local Pumpkin Festival,1358 Y,1937 T,424,1547,-8,Long Pie
2283-P,97,1443.136136047542,KLWOK,Houston,Texas,USA,Regional Pumpkin Festival,1465 K,1588 C,377,1199,24,Naples Long
2090-P,11,1439.3844699999318,UEVRB,Houston,Texas,China,Regional Pumpkin Festival,1546 I,1435 H,379,1208,16,Sugar Pie
2091-P,76,1428.5263456635178,FYWFX,Nottingham,Florida,USA,Regional Pumpkin Festival,1484 O,1627 I,410,1431,-3,Naples Long
2293-P,83,1429.879969060421,AQCJF,New York,California,China,National Pumpkin Festival,1190 D,1805 Z,380,1166,24,Long Pie
2317-P,79,1437.011622844264,WXBVP,Los Angeles,New York,UK,Regional Pumpkin Festival,1544 Y,1414 L,435,1694,-21,Long Pie
2276-P,44,1426.1471083071083,FJVJN,New York,New York,UK,Local Pumpkin Festival,1853 I,1745 X,392,1291,13,Sugar Pie
2303-P,65,1423.5965060470626,EPJOO,New York,New York,Canada,National Pumpkin Festival,1420 K,1647 O,406,1367,9,Long Pie
2101-P,76,1429.4375861631706,XTLZZ,Paris,New York,UK,Regional Pumpkin Festival,1856 P,1906 L,394,1335,9,Yuxijiangbinggua
2261-P,57,1431.8688636898994,ZTUOE,Houston,New York,France,National Pumpkin Festival,1233 X,1123 O,399,1356,8,Yuxijiangbinggua
2781-P,86,1424.5723225837573,XSNES,New York,California,Mexico,Regional Pumpkin Festival,1477 C,1194 N,385,1242,18,Naples Long
2532-P,24,1420.8249179944396,OYDBR,Los Angeles,New York,Australia,Regional Pumpkin Festival,1987 K,1781 L,385,1267,13,Sugar Pie
2101-P,67,1402.7867625001818,DBXCF,Chicago,New York,China,Regional Pumpkin Festival,1324 H,1716 Y,385,1270,15,Long Pie
2080-P,6,1404.7430494474247,KOYXL,Houston,New York,Australia,National Pumpkin Festival,2000 C,1133 S,408,1419,-2,Sugar Pie
2842-P,54,1413.4463156051934,NIDYS,Los Angeles,New York,USA,Local Pumpkin Festival,1828 P,1515 R,398,1314,6,Long Pie
2255-P,23,1397.9512226376683,AZQHA,Los Angeles,California,Canada,National Pumpkin Festival,1314 C,1087 Y,404,1355,5,Long Pie
2542-P,15,1400.9594411300495,ZSCLQ,Los Angeles,New York,Canada,Regional Pumpkin Festival,1261 E,1439 A,405,1411,-4,Yuxijiangbinggua
2051-P,82,1409.1519348649308,FIZVP,Paris,California,USA,National Pumpkin Festival,1944 H,1878 I,398,1368,0,Long Pie
2442-P,24,1407.622515918687,ZIPKD,Los Angeles,California,UK,Local Pumpkin Festival,1336 Q,1706 B,398,1358,8,Long Pie
2399-P,95,1383.1599196726456,JSPHW,Houston,New York,USA,National Pumpkin Festival,1566 L,1850 I,407,1395,-4,Yuxijiangbinggua
2957-P,36,1398.5149292144924,LGQRG,Paris,New York,China,Regional Pumpkin Festival,1638 V,1299 E,387,1259,6,Yuxijiangbinggua
2942-P,58,1392.4017406487837,OQWTH,Nottingham,Florida,France,Regional Pumpkin Festival,1500 X,1667 A,383,1255,6,Sugar Pie
2498-P,98,1380.515051547438,UHOLR,Paris,Texas,USA,Local Pumpkin Festival,1501 H,1879 J,394,1291,2,Naples Long
2898-P,14,1385.982417746447,WOHUD,Paris,California,Australia,National Pumpkin Festival,1102 I,1258 B,412,1489,-10,Sugar Pie
2323-P,46,1381.3154351105914,CGJXE,Chicago,California,Mexico,Local Pumpkin Festival,1090 E,1253 F,400,1365,-3,Yuxijiangbinggua
2362-P,39,1388.060110499151,OMPMB,Nottingham,Florida,Australia,National Pumpkin Festival,1712 G,1789 W,392,1291,9,Sugar Pie
2582-P,7,1389.2309429720044,QSBPJ,Los Angeles,Florida,Canada,Local Pumpkin Festival,1199 H,1594 A,408,1452,0,Sugar Pie
2283-P,57,1379.696615622565,HZUGR,Nottingham,Florida,France,National Pumpkin Festival,1064 O,1115 D,386,1260,7,Long Pie
2258-P,27,1387.8528183642775,FDQJG,Paris,Texas,UK,National Pumpkin Festival,1822 N,1462 W,406,1397,-3,Sugar Pie
