id,place,weight_lbs,grower_name,city,state_prov,country,gpc_site,seed_mother,pollinator_father,ott,est_weight,pct_chart,variety
2863-P,4,2028.2542750965804,VZZER,Houston,Texas,Canada,Regional Pumpkin Festival,1032 P,1944 B,470,1995,6,One Too Many
2307-P,88,1988.3710194192827,USSWV,Houston,Texas,USA,National Pumpkin Festival,1796 W,1543 X,451,1812,11,Peanut Pumpkin
2182-P,34,1897.0033299466595,UKAEO,Nottingham,California,UK,Local Pumpkin Festival,1550 Z,1156 S,449,1747,13,Red Warty Thing
2737-P,81,1873.905620843172,HQLYZ,Los Angeles,Florida,UK,Local Pumpkin Festival,1474 J,1992 G,434,1671,10,Tiger Stripe
2590-P,47,1804.540762372315,VPLJJ,Houston,Florida,China,Local Pumpkin Festival,1104 V,1568 O,427,1614,9,Tiger Stripe
2011-P,84,1792.731320740655,CORMO,Paris,Texas,UK,Regional Pumpkin Festival,1688 M,1287 C,428,1617,7,Peanut Pumpkin
2630-P,78,1776.9642368201166,XOBTT,Chicago,Texas,USA,Regional Pumpkin Festival,1951 R,1419 E,449,1748,7,Peanut Pumpkin
2681-P,82,1780.9415826285258,IPIOG,Nottingham,Florida,Mexico,Regional Pumpkin Festival,1307 K,1816 M,430,1647,4,One Too Many
2230-P,14,1776.4636532571167,MSQAQ,Los Angeles,Florida,Australia,Regional Pumpkin Festival,1824 N,1326 K,422,1545,14,Tiger Stripe
2253-P,90,1774.2839177893475,MBKDG,Nottingham,California,USA,Local Pumpkin Festival,1582 I,1981 F,421,1571,15,Tiger Stripe
2256-P,63,1753.7163074413315,SPIDW,Paris,Texas,USA,National Pumpkin Festival,1200 A,1109 N,443,1704,-1,One Too Many
2732-P,71,1746.1404826967046,MFWUH,New York,New York,China,Regional Pumpkin Festival,1159 B,1494 P,424,1518,10,Peanut Pumpkin
2689-P,93,1745.593279137276,CXNUJ,Paris,California,UK,Regional Pumpkin Festival,1151 P,1250 U,427,1607,7,Peanut Pumpkin
2898-P,33,1741.2058822559193,BOZEE,Houston,Texas,Canada,National Pumpkin Festival,1150 V,1446 V,429,1591,7,Peanut Pumpkin
2866-P,83,1690.7074710430577,KMTHB,Nottingham,Florida,France,Local Pumpkin Festival,1319 I,1060 H,439,1665,4,Peanut Pumpkin
2389-P,100,1682.6690960181877,JWMTB,Chicago,New York,Australia,National Pumpkin Festival,1962 N,1895 U,421,1564,9,Tiger Stripe
2085-P,36,1658.259081210941,JZBSB,Nottingham,Texas,Mexico,Regional Pumpkin Festival,1503 Q,1025 D,440,1719,-2,Tiger Stripe
2947-P,91,1654.1924131065607,ATNTI,Nottingham,New York,Australia,National Pumpkin Festival,1163 P,1221 G,412,1427,22,Tiger Stripe
2714-P,6,1657.3450973499566,COMYE,Nottingham,Florida,USA,Regional Pumpkin Festival,1200 M,1660 I,415,1505,13,Peanut Pumpkin
2359-P,42,1659.433662455529,RYYID,New York,New York,Australia,Regional Pumpkin Festival,1179 D,1218 Z,422,1535,5,Red Warty Thing
2323-P,63,1621.9741783030331,BRYIG,New York,Florida,USA,Regional Pumpkin Festival,1818 F,1715 X,409,1428,15,Tiger Stripe
2109-P,99,1599.408253991045,GTCQW,New York,Florida,China,Regional Pumpkin Festival,1427 W,1400 G,422,1529,7,Peanut Pumpkin
2360-P,71,1594.8558501088992,ZRJCW,Nottingham,Florida,Canada,National Pumpkin Festival,1856 V,1678 U,431,1630,-4,One Too Many
2776-P,82,1571.0201820656657,MTMJD,New York,New York,France,Regional Pumpkin Festival,1618 G,1569 Q,413,1447,6,Red Warty Thing
